Found!ဂတိ	ကတိ
Found!တိုက်ခိိုက်မှုအတွင်း	တိုက်ခိုက်မှုအတွင်း
Found!တိ်ုက်တွန်း	တိုက်တွန်း
Found!တိုက်တွန်းနေပါတယ။်	တိုက်တွန်းနေပါတယ်
Found!တိ်ုက်ပွဲ	တိုက်ပွဲ
Found!တုက်ပွဲ	တိုက်ပွဲ
Found!တင်ထာတယ်	တင်ထားတယ်
Found!တင်အောင်မြင့့်ဦး	တင်အောင်မြင့်ဦး
Found!တောင်ကိုရီးား	တောင်ကိုရီးယား
Found!တောင်ကိုးရီးယား	တောင်ကိုရီးယား
Found!တောင်ပန်လို့	တောင်းပန်လို့
Found!တောင်ပန်အပ်ပါတယ်	တောင်းပန်အပ်ပါတယ်
Found!တို်ုင်တောင်	တိုင်တောင်
Found!တိ်ုင်ပင်ကြပါတယ်	တိုင်ပင်ကြပါတယ်
Found!တိုင်းတားတဲ့	တိုင်းတာတဲ့
Found!တိုင်ပြည်ချစ်စိတ်	တိုင်းပြည်ချစ်စိတ်
Found!တိုုင်းပြည်	တိုင်းပြည်
Found!တိုင်းပြာ်	တိုင်းပြည်
Found!တိုင်ရင်းသား	တိုင်းရင်းသား
Found!တိုငး်ရုံး	တိုင်းရုံး
Found!တကမ္ဘာလုံး	တစ်ကမ္ဘာလုံး
Found!တကျော့ပြန်	တစ်ကျော့ပြန်
Found!တခါသုံး	တစ်ခါသုံး
